DATE_TIME,PE,VWC,PRECIP,EFF_RAIN
2015-08-15,3.4,36.3,0.0,-3.4
2015-08-16,2.7,35.1,0.0,-2.7
2015-08-17,3.2,33.5,0.0,-3.2
2015-08-18,0.7,36.7,24.81,24.11
2015-08-19,3.0,39.5,0.7999999999999999,-2.2
2015-08-20,2.0,39.3,0.25,-1.75
2015-08-21,2.6,39.7,0.67,-1.9300000000000002
2015-08-22,2.3,37.3,16.740000000000002,14.440000000000001
2015-08-23,3.5,38.2,5.39,1.8899999999999997
2015-08-24,1.9,37.8,0.0,-1.9
2015-08-25,2.5,39.6,0.07,-2.43
2015-08-26,2.4,40.9,2.93,0.5300000000000002
2015-08-27,2.8,39.8,0.0,-2.8
2015-08-28,2.7,38.7,0.0,-2.7
2015-08-29,2.3,36.9,0.0,-2.3
2015-08-30,1.8,36.2,0.0,-1.8
2015-08-31,1.0,35.9,6.739999999999999,5.739999999999999
2015-09-01,2.2,37.0,0.06,-2.14
2015-09-02,1.4,35.5,1.23,-0.16999999999999993
2015-09-03,1.3,34.8,0.07,-1.23
2015-09-04,1.2,36.1,0.08,-1.1199999999999999
2015-09-05,1.7,35.1,0.0,-1.7
2015-09-06,2.6,34.0,0.0,-2.6
2015-09-07,1.8,35.7,0.05,-1.75
